DEP;DIR;CODECOM;CODEVOIE;LIBVOIE;TYPEVOIE;CODE_MAJIC;LIBCOM;CODE_POSTAL;DATE_CREATION
2A;0;001;0001;PL  DE L'EGLISE;1;;AFA;20167;20040527
2A;0;001;0002;CHE DES VIGNES;1;;AFA;20167;20040527
2A;0;001;A001;LOT PETRA ROSSA;2;;AFA;20167;20020226
2A;0;001;A002;LOT LES AMANDIERS;2;;AFA;20167;20050825
2A;0;001;A003;LOT U FURELLU;2;;AFA;20167;20050926
2A;0;001;A004;LOT LES COLLINES DE TROVA;2;;AFA;20167;20060222
2A;0;001;A005;LOT VIGNA PIANA;2;;AFA;20167;20060925
2A;0;001;A006;LOT MORETTI;2;;AFA;20167;20070126
2A;0;001;A007;LOT MICHEL ANGE;2;;AFA;20167;20090929
2A;0;001;A008;RES DES VIGNES;2;;AFA;20167;20131125
2A;0;001;A009;LOT LE CLOS D'AFA;2;;AFA;20167;20140225
2A;0;001;A010;LOT CASA MARTINO;2;;AFA;20167;20140527
2A;0;001;A011;RES OGLIASTRONE;2;;AFA;20167;20230327
2A;0;001;B001;AFA;3;;AFA;20167;19881208
2A;0;001;B002;L AJA ALLA GROTTA;3;;AFA;20167;19910714
2A;0;001;B003;ARUTICELLO;3;;AFA;20167;19910714
2A;0;001;B004;BAS DE PIATA;3;;AFA;20167;19910714
2A;0;001;B005;BAS DE RENAJO;3;;AFA;20167;19910714
2A;0;001;B006;BATAGLIONE;3;;AFA;20167;19881208
2A;0;001;B007;BOCCA AL FORNO;3;;AFA;20167;19881208
2A;0;001;B008;BOCCA ALLA GHIARELLA;3;;AFA;20167;19901128
2A;0;001;B009;BOCCA DI FRASCELLI;3;;AFA;20167;19910714
2A;0;001;B010;BONA CURSUCCIA;3;;AFA;20167;19881208
2A;0;001;B011;BRAJATOLA;3;;AFA;20167;19881208
2A;0;001;B012;BRAMATOJA;3;;AFA;20167;19881208
2A;0;001;B013;BRUCCIOLO;3;;AFA;20167;19910714
2A;0;001;B014;BUTRONE;3;;AFA;20167;19881208
2A;0;001;B015;CACCIARICCIA;3;;AFA;20167;19881208
2A;0;001;B016;CAGIO ROSTITO;3;;AFA;20167;19881208
2A;0;001;B017;CALANCONE;3;;AFA;20167;19910714
2A;0;001;B018;CANICCIO;3;;AFA;20167;19910714
2A;0;001;B019;CAPANNI;3;;AFA;20167;19910714
2A;0;001;B020;CARDUSELLO;3;;AFA;20167;19870101
