DEP;DIR;CODECOM;CODEVOIE;LIBVOIE;TYPEVOIE;CODE_MAJIC;LIBCOM;CODE_POSTAL;DATE_CREATION
2B;0;002;0178;RTE DE L EGLISE;1;;AGHIONE;20270;19911031
2B;0;002;0179;RTE FORESTIERE 6;1;;AGHIONE;20270;19911031
2B;0;002;B001;AGHIONE;3;;AGHIONE;20270;19870101
2B;0;002;B002;AGHIUNCELLO;3;;AGHIONE;20270;19910714
2B;0;002;B003;AJA ALTA;3;;AGHIONE;20270;19910714
2B;0;002;B004;ALZI;3;;AGHIONE;20270;19910714
2B;0;002;B005;ALZITELLA;3;;AGHIONE;20270;19910714
2B;0;002;B006;ANDRIANI;3;;AGHIONE;20270;19881208
2B;0;002;B007;ANGELACCIA;3;;AGHIONE;20270;19881208
2B;0;002;B008;ARISTONE;3;;AGHIONE;20270;19910714
2B;0;002;B009;BADIGLIOLI;3;;AGHIONE;20270;19910714
2B;0;002;B010;BALDANACCIA;3;;AGHIONE;20270;19910714
2B;0;002;B011;BANUCCI;3;;AGHIONE;20270;19910714
2B;0;002;B012;BERGAMANACCIA;3;;AGHIONE;20270;19910714
2B;0;002;B013;BERRIECELLO;3;;AGHIONE;20270;19910714
2B;0;002;B014;BILIOTO;3;;AGHIONE;20270;19910714
2B;0;002;B015;BOTTIGLIO;3;;AGHIONE;20270;19910714
2B;0;002;B016;BUTRELLO;3;;AGHIONE;20270;19910714
2B;0;002;B017;CAMPO DI A CHIESA ET FIGUE;3;;AGHIONE;20270;19910714
2B;0;002;B018;CANAPALE;3;;AGHIONE;20270;19910714
2B;0;002;B019;CANE MORTO;3;;AGHIONE;20270;19910714
2B;0;002;B020;CAPO LA PIANA;3;;AGHIONE;20270;19910714
2B;0;002;B021;CAPRINAJE;3;;AGHIONE;20270;19910714
2B;0;002;B022;CARONTE;3;;AGHIONE;20270;19910714
2B;0;002;B023;CASA RENUCCI;3;;AGHIONE;20270;19881208
2B;0;002;B024;CASAL VECCHIO;3;;AGHIONE;20270;19870101
2B;0;002;B025;CASOME;3;;AGHIONE;20270;19910714
2B;0;002;B026;CASONE;3;;AGHIONE;20270;19870101
2B;0;002;B027;CASTEL VECCHIO;3;;AGHIONE;20270;19910714
2B;0;002;B028;CATASTAJO;3;;AGHIONE;20270;19910714
2B;0;002;B029;CAVELLI;3;;AGHIONE;20270;19910714
2B;0;002;B030;CENTO POGGIOLI;3;;AGHIONE;20270;19910714
2B;0;002;B031;CHIESALE;3;;AGHIONE;20270;19910714
2B;0;002;B032;CHIOSO;3;;AGHIONE;20270;19870101
2B;0;002;B033;CHIOSO AL MOLINO;3;;AGHIONE;20270;19910714
2B;0;002;B034;CHIOSO ALLA FINOCHIAJA;3;;AGHIONE;20270;19910714
2B;0;002;B035;CIAPARELLO;3;;AGHIONE;20270;19910714
2B;0;002;B036;CIOTTA FIORELLO;3;;AGHIONE;20270;19910714
2B;0;002;B037;CODALI;3;;AGHIONE;20270;19910714
2B;0;002;B038;COLONNA;3;;AGHIONE;20270;19910714
2B;0;002;B039;COLONNA LANDANA;3;;AGHIONE;20270;19910714
2B;0;002;B040;CORRIGLIONE;3;;AGHIONE;20270;19910714
2B;0;002;B041;COSTA;3;;AGHIONE;20270;19910714
2B;0;002;B042;COSTA DI FOATELLA;3;;AGHIONE;20270;19910714
2B;0;002;B043;COSTA DI LOJANI;3;;AGHIONE;20270;19910714
2B;0;002;B044;COTICCIO;3;;AGHIONE;20270;19870101
2B;0;002;B045;COTTICIO ET BERGAMANACCIA;3;;AGHIONE;20270;19870101
2B;0;002;B046;CRISTIANO;3;;AGHIONE;20270;19910714
2B;0;002;B047;CROCE AL PIRELLO;3;;AGHIONE;20270;19910714
2B;0;002;B048;CURTICCIOLO;3;;AGHIONE;20270;19910714
2B;0;002;B049;DICEPPO;3;;AGHIONE;20270;19910714
2B;0;002;B050;DICEPPO DI CAGGIONE;3;;AGHIONE;20270;19910714
2B;0;002;B051;DICEPPO QUADRO;3;;AGHIONE;20270;19910714
2B;0;002;B052;DICEPPO ZAMPAI;3;;AGHIONE;20270;19910714
2B;0;002;B053;FAVALE;3;;AGHIONE;20270;19910714
2B;0;002;B054;FENOSA;3;;AGHIONE;20270;19910714
2B;0;002;B055;FILICONE;3;;AGHIONE;20270;19910714
2B;0;002;B056;FIMOCHIAJA;3;;AGHIONE;20270;19910714
2B;0;002;B057;FOATELLA;3;;AGHIONE;20270;19910714
2B;0;002;B058;FOATELLA O BALDERONE;3;;AGHIONE;20270;19910714
2B;0;002;B059;FOLACCIONI;3;;AGHIONE;20270;19910714
2B;0;002;B060;FOLACIONE;3;;AGHIONE;20270;19910714
2B;0;002;B061;FONTANA DI TERRIOLA;3;;AGHIONE;20270;19910714
2B;0;002;B062;FONTANICCHIA;3;;AGHIONE;20270;19910714
2B;0;002;B063;FRASSICCIA;3;;AGHIONE;20270;19910714
2B;0;002;B064;FRASSICE;3;;AGHIONE;20270;19910714
2B;0;002;B065;FURNELLO;3;;AGHIONE;20270;19910714
2B;0;002;B066;GATTUCCIA;3;;AGHIONE;20270;19910714
2B;0;002;B067;GATTUCCIO;3;;AGHIONE;20270;19910714
2B;0;002;B068;IMBERSCIA;3;;AGHIONE;20270;19910714
2B;0;002;B069;ISOLA;3;;AGHIONE;20270;19910714
2B;0;002;B070;ISOLA CORTINCA;3;;AGHIONE;20270;19910714
2B;0;002;B071;ISOLA DEL ALZETO;3;;AGHIONE;20270;19910714
2B;0;002;B072;ISOLA DELL AGHIONCELLO;3;;AGHIONE;20270;19910714
2B;0;002;B073;ISOLA DELLA CHIESA;3;;AGHIONE;20270;19910714
2B;0;002;B074;ISOLA DI FOATELLA;3;;AGHIONE;20270;19910714
2B;0;002;B075;LECCIA DI LOJANI;3;;AGHIONE;20270;19910714
2B;0;002;B076;LEONELLA;3;;AGHIONE;20270;19910714
